,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
0,0:35.00,TheClappening,The1TrueHero,weapon,dead
1,0:46.00,ANTIDOTE1006,FOOB xHicCup,weapon,dead
2,0:46.00,TheMilkMan,TheClappening,weapon,dead
3,0:47.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
4,0:47.00,TheMilkMan,heClappenino,weapon,dead
5,0:47.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
6,0:47.00,TheMilkMan,TheClappening,weapon,dead
7,0:48.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
8,0:48.00,TheMilkMan,neClappenin,weapon,dead
9,0:49.00,TheMilkMan,TheClappening,weapon,dead
10,0:49.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
11,0:49.00,CXMKleitonLyzFoley,SmellyAfricans,weapon,dead
12,0:49.00,HiliPeracTive,The-Phoenix,weapon,dead
13,0:49.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
14,0:49.00,CXMKleitonLyzFole,SmellyAfricans,weapon,dead
15,0:49.00,HiiiPeracTive,The-Phoenix,weapon,dead
16,0:50.00,CXMKleitonLyzFole,SmellyAfricans,weapon,dead
17,0:50.00,[QQGG] BroadwayBRETT,MildCaucazian,weapon,dead
18,0:50.00,HiiiPeracTive,The-Phoenix,weapon,dead
19,0:50.00,TheMilkMan,TheClappening,weapon,dead
20,0:51.00,CXM KleitonLyzFole,SmellyAfricans,weapon,dead
21,0:51.00,[QQGG] BroadwayBRETT,MildCaucazian,weapon,dead
22,0:51.00,HiliPeracTive,The-Phoenix,weapon,dead
23,0:51.00,TheMilkMan,TheClappening,weapon,dead
24,0:51.00,CXM KleitonLyzFole,SmellyAfricans,weapon,dead
25,0:51.00,QQGG BroadwayBRETT,MildCaucazian,weapon,dead
26,0:51.00,HiiiPeracTive,The-Phoenix,weapon,dead
27,0:51.00,TheMilkMan,TheClappening,weapon,dead
28,0:53.00,CXMKleitonLyzFoley,SmellyAfricans,weapon,dead
29,0:53.00,QQGG BroadwayBRETT,MildCaucazian,weapon,dead
30,0:53.00,HiiiPeracTive,The-Phoenix,weapon,dead
31,0:53.00,CXMKleitonLyzFole,SmellyAfricans,weapon,dead
32,0:53.00,[QQGG BroadwayBRETT,MildCaucazian,weapon,dead
33,0:53.00,HiiiPeracTive,The-Phoenix,weapon,dead
34,0:54.00,CXMKleitonLyzFole,SmellyAfricans,weapon,dead
35,0:54.00,QQGG BroadwayBRETT,MildCaucazian,weapon,dead
36,0:54.00,HiliPeracTive,The-Phoenix,weapon,dead
37,0:55.00,CXMKleitonLyzFole,SmellyAfricans,weapon,dead
38,0:55.00,QQGG BroadwayBRETT,MildCaucazian,weapon,dead
39,0:55.00,HiliPeracTive,The-Phoenix,weapon,dead
40,0:55.00,QQGG BroadwayBRETT,MildCaucazian,weapon,dead
41,0:57.00,QQGG BroadwayBRETT,MildCaucazian,weapon,dead
42,1:22.00,CommandoBlando,XVooDX,weapon,dead
43,1:22.00,MoxOfWa,Coper909,weapon,dead
44,1:23.00,CommandoBlandc,XVooDX,weapon,dead
45,1:23.00,MoxOfWar,Coper909,weapon,dead
46,1:23.00,MoxOfWar,Coper909,weapon,dead
47,1:23.00,mandoBland,XVooDX,weapon,dead
48,1:23.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
49,1:24.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
50,1:24.00,CommandoBlando,XVooDX,weapon,dead
51,1:25.00,MoxOfWar,Coper909,weapon,dead
52,1:25.00,mmandoBland,XVooDX,weapon,dead
53,1:25.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
54,1:25.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
55,1:25.00,loxOfWa,oper909,weapon,dead
56,1:26.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
57,1:26.00,DrDisRespect,Verteidig_en,weapon,dead
58,1:27.00,DokiDoki_Yuri,NTIDOTE1006,weapon,dead
59,1:27.00,DrDisRespect,Verteidig_en,weapon,dead
60,1:27.00,MoxOfWa,oper909,weapon,dead
61,1:27.00,CommandoBlando,RADD_TADD,weapon,dead
62,1:27.00,CommandoBlando,RADD_TADD,weapon,dead
63,1:27.00,DrDisRespect,Verteidig_en,weapon,dead
64,1:27.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
65,1:27.00,CXM KleitonLyzFoley,Diphrael,weapon,dead
66,1:28.00,CXMKleitonLyzFoley,Diphrae,weapon,dead
67,1:28.00,DrDisRespect,Verteidig_en,weapon,dead
