,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
0,0:17.00,ANTIDOTE1006,Dino-13,weapon,dead
1,0:18.00,ANTIDOTE1006,Dino-13,weapon,dead
2,0:19.00,ANTIDOTE1006,Dino-13,weapon,dead
3,0:19.00,ANTIDOTE1006,Dino-13,weapon,dead
4,0:20.00,ANTIDOTE1006,Dino-13,weapon,dead
5,0:21.00,ANTIDOTE1006,Dino-13,weapon,dead
6,0:21.00,ANTIDOTE1006,Dino-13,weapon,dead
7,0:22.00,ANTIDOTE1006,Dino-13,weapon,dead
8,0:23.00,ANTIDOTE1006,Dino-13,weapon,dead
9,0:23.00,ANTIDOTE1006,Dino-13,weapon,dead
10,0:35.00,TheClappening,The1TrueHero,weapon,dead
11,0:35.00,TheClappening,The1TrueHero,weapon,dead
12,0:36.00,TheClappening,The1TrueHero,weapon,dead
13,0:37.00,TheClappening,The1TrueHero,weapon,dead
14,0:37.00,TheClappening,The1TrueHero,weapon,dead
15,0:38.00,TheClappening,The1TrueHero,weapon,dead
16,0:39.00,TheClappening,The1TrueHero,weapon,dead
17,0:39.00,TheClappening,The1TrueHero,weapon,dead
18,0:39.00,TheClappening,ThelTrueHero,weapon,dead
19,0:40.00,TheClappening,ThelTrueHero,weapon,dead
20,0:41.00,TheClappening,The1TrueHero,weapon,dead
21,0:44.00,ANTIDOTE1006,FOOBxHicCup,weapon,dead
22,0:45.00,ANTIDOTE1006,FOOBxHicCup,weapon,dead
23,0:45.00,ANTIDOTE1006,FOOB xHicCup,weapon,dead
24,0:46.00,ANTIDOTE1006,FOOB xHicCup,weapon,dead
25,0:46.00,TheMilkMan,TheClappening,weapon,dead
26,0:47.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
27,0:47.00,TheMilkMan,heClappenino,weapon,dead
28,0:47.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
29,0:47.00,TheMilkMan,TheClappening,weapon,dead
30,0:48.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
31,0:48.00,TheMilkMan,neClappenin,weapon,dead
32,0:49.00,TheMilkMan,TheClappening,weapon,dead
33,0:49.00,ANTIDOTE1006,[FOOB] xHicCup,weapon,dead
34,0:49.00,CXMKleitonLyzFoley,SmellyAfricans,weapon,dead
